Brand	Location	Time the brand is at screen	Duration	Screen Location	Screen Size %	Total Hits	Average Hits	Sequence Frame Number
ΑΝΖ	Playing Kit - Arm	12:30:00	2	C	0.240	2	1	7500
Dulux	LED Sign - End of Wicket Signage	12:30:01	2	C	5.419	2	1	7501
Ford	Player Kit - Shirt Back	12:30:02	1	A	0.384	1	1	7502
GJ Gardner	LED Sign	12:30:01	2	A	7.751	2	1	7501
GJ Gardner	LED Sign - Homes	12:30:01	2	A	1.827	2	1	7501
KFC	Boundary Rope	12:30:01	2	A	0.278	6	3	7501
Life Direct	Boundary Rope	12:30:01	2	A	0.586	2	1	7501
ΑΝΖ	Boundary Rope	12:30:01	11	E	0.143	47	4.273	7501
Canterbury	Playing Kit - Shirt Front	12:30:03	11	A	0.208	11	1	7503
GJ Gardner	LED Sign	12:30:09	5	A	7.751	5	1	7509
ΑΝΖ	Playing Kit - Shirt Front	12:30:03	11	A	0.531	11	1	7503
Dulux	Virtual Grass Sign - End of Wicket	12:30:16	1	C	1.581	1	1	7516
Canterbury	Playing Kit - Shirt Front	12:30:19	2	A	0.208	2	1	7519
ΑΝΖ	Playing Kit - Shirt Front	12:30:19	2	A	0.531	2	1	7519
ΑΝΖ	Playing Kit - Shirt Front	12:30:22	4	A	0.531	4	1	7522
ΑΝΖ	Playing Kit - Arm	12:30:21	10	A	0.240	10	1	7521
Dulux	Virtual Grass Sign - End of Wicket	12:30:31	1	B	1.293	1	1	7531
ΑΝΖ	Virtual Grass Sign - End of Wicket	12:30:31	1	C	1.359	1	1	7531
Ford	Player Kit - Shirt Back	12:30:36	3	A	0.384	3	1	7536
Canterbury	Playing Kit - Shirt Front	12:30:48	1	A	0.208	1	1	7548
ΑΝΖ	Playing Kit - Shirt Front	12:30:48	1	A	0.531	1	1	7548
ΑΝΖ	Playing Kit - Arm	12:30:50	13	A	0.240	13	1	7550
Ford	Player Kit - Shirt Back	12:31:03	1	A	0.384	1	1	7563
Canterbury	Playing Kit - Shirt Front	12:30:51	19	A	0.208	19	1	7551
KFC	Boundary Rope	12:31:05	5	A	0.278	15	3	7565
KFC	LED Sign	12:31:04	6	E	5.027	6	1	7564
KFC	LED Sign - GET THE APP	12:31:04	6	D	10.368	6	1	7564
Life Direct	Boundary Rope	12:31:05	5	A	0.586	5	1	7565
ΑΝΖ	Boundary Rope	12:31:05	5	E	0.143	50	10	7565
ΑΝΖ	Playing Kit - Shirt Front	12:30:51	19	A	0.531	19	1	7551
GJ Gardner	Virtual Grass Sign - End of Wicket - Homes	12:31:17	1	B	1.293	1	1	7577
ΑΝΖ	Virtual Grass Sign - End of Wicket	12:31:17	1	C	1.359	1	1	7577
GJ Gardner	Virtual Grass Sign - End of Wicket	12:31:19	1	B	2.013	1	1	7579
GJ Gardner	Virtual Grass Sign - End of Wicket - Homes	12:31:19	1	B	1.871	1	1	7579
ΑΝΖ	Virtual Grass Sign - End of Wicket	12:31:19	1	C	3.345	1	1	7579
Canterbury	Playing Kit - Shirt Front	12:31:24	4	A	0.208	4	1	7584
Dulux	LED Sign - End of Wicket Signage	12:31:25	3	C	5.419	3	1	7585
ΑΝΖ	Playing Kit - Shirt Front	12:31:24	4	A	0.531	4	1	7584
ΑΝΖ	Playing Kit - Shirt Front	12:31:34	1	A	0.531	1	1	7594
ΑΝΖ	Playing Kit - Arm	12:31:37	4	A	0.240	4	1	7597
GJ Gardner	Virtual Grass Sign - End of Wicket	12:31:44	1	B	2.013	1	1	7604
GJ Gardner	Virtual Grass Sign - End of Wicket - Homes	12:31:41	4	B	1.871	4	1	7601
ΑΝΖ	Virtual Grass Sign - End of Wicket	12:31:41	4	C	3.345	4	1	7601
ΑΝΖ	Playing Kit - Arm	12:31:58	6	A	0.240	6	1	7618
GJ Gardner	Virtual Grass Sign - End of Wicket	12:32:06	1	B	2.013	1	1	7626
GJ Gardner	Virtual Grass Sign - End of Wicket - Homes	12:32:06	1	B	1.871	1	1	7626
ΑΝΖ	Virtual Grass Sign - End of Wicket	12:32:06	1	C	3.345	1	1	7626
Dulux	LED Sign - End of Wicket Signage	12:32:07	1	C	0.691	2	2	7627
Life Direct	LED Sign - End of Wicket Signage	12:32:07	1	B	1.747	2	2	7627
ΑΝΖ	Boundary Rope	12:32:09	1	E	0.143	6	6	7629
GJ Gardner	Virtual Grass Sign - End of Wicket - Homes	12:32:10	1	B	1.871	1	1	7630
ΑΝΖ	Virtual Grass Sign - End of Wicket	12:32:10	1	C	3.345	1	1	7630
KFC	Boundary Rope	12:32:12	2	A	0.278	6	3	7632
Life Direct	Boundary Rope	12:32:12	2	A	0.586	2	1	7632
ΑΝΖ	Boundary Rope	12:32:12	2	E	0.143	20	10	7632
GJ Gardner	Virtual Grass Sign - End of Wicket - Homes	12:32:14	5	B	1.871	5	1	7634
ΑΝΖ	Virtual Grass Sign - End of Wicket	12:32:14	5	C	3.345	5	1	7634
