Brand	Location	Time the brand is at screen	Duration	Screen Location	Screen Size %	Total Hits	Average Hits	Sequence Frame Number
Dulux	Grass Sign - Square of Wicket	10:25:01	8	A	1.283	8	1	1
Ford	Virtual Grass Sign - Square of Wicket	10:25:01	8	A	1.869	8	1	1
KFC	Virtual Grass Sign - Square of Wicket	10:25:01	8	A	0.640	8	1	1
Life Direct	Virtual Grass Sign - Square of Wicket	10:25:01	8	A	0.974	8	1	1
Dulux	Grass Sign - Square of Wicket	10:25:14	3	A	1.283	3	1	14
Ford	Virtual Grass Sign - Square of Wicket	10:25:14	3	A	1.869	3	1	14
KFC	Virtual Grass Sign - Square of Wicket	10:25:14	3	A	0.640	3	1	14
Life Direct	Virtual Grass Sign - Square of Wicket	10:25:14	3	A	0.974	3	1	14
BRB	Grass Sign - Square of Wicket	10:25:23	4	A	2.770	4	1	23
Ford	Virtual Grass Sign - Square of Wicket	10:25:23	4	A	1.869	4	1	23
KFC	Virtual Grass Sign - Square of Wicket	10:25:23	4	A	0.640	4	1	23
Life Direct	Virtual Grass Sign - Square of Wicket	10:25:23	4	A	0.974	4	1	23
BRB	Grass Sign - Square of Wicket	10:25:32	3	A	2.770	3	1	32
Ford	Virtual Grass Sign - Square of Wicket	10:25:32	3	A	1.869	3	1	32
KFC	Virtual Grass Sign - Square of Wicket	10:25:32	3	A	0.640	3	1	32
Life Direct	Virtual Grass Sign - Square of Wicket	10:25:32	3	A	0.974	3	1	32
BRB	Grass Sign - Square of Wicket	10:25:48	2	A	2.770	2	1	48
Ford	Virtual Grass Sign - Square of Wicket	10:25:48	2	A	1.869	2	1	48
KFC	Virtual Grass Sign - Square of Wicket	10:25:48	2	A	0.640	2	1	48
Life Direct	Virtual Grass Sign - Square of Wicket	10:25:48	2	A	0.974	2	1	48
BRB	Grass Sign - Square of Wicket	10:25:59	2	A	2.770	2	1	59
Ford	Virtual Grass Sign - Square of Wicket	10:25:59	2	A	1.869	2	1	59
KFC	Virtual Grass Sign - Square of Wicket	10:25:59	2	A	0.640	2	1	59
Life Direct	Virtual Grass Sign - Square of Wicket	10:25:59	2	A	0.974	2	1	59
TVNZ+	TVGI Logo	10:30:00	9	D	0.584	9	1	300
ΑΝΖ	TVGI - Major Sponsor	10:30:07	2	A	0.516	2	1	307
Canterbury	Playing Kit - Shirt Front	10:30:12	1	A	0.973	1	1	312
ΑΝΖ	Playing Kit - Shirt Front	10:30:12	1	A	1.183	1	1	312
Canterbury	Playing Kit - Shirt Front	10:30:15	2	A	0.973	4	3	315
ΑΝΖ	Playing Kit - Shirt Front	10:30:15	2	A	1.183	4	3	315
Canterbury	Playing Kit - Shirt Front	10:30:23	1	A	0.973	1	1	323
ΑΝΖ	Playing Kit - Shirt Front	10:30:23	1	A	1.183	1	1	323
Canterbury	Playing Kit - Shirt Front	10:30:30	1	A	0.973	1	1	330
ΑΝΖ	Playing Kit - Shirt Front	10:30:30	3	A	1.183	9	4	330
Canterbury	Playing Kit - Shirt Front	10:30:35	1	A	0.973	1	1	335
ΑΝΖ	Playing Kit - Shirt Front	10:30:35	1	A	1.183	1	1	335
Dulux	TVGI Series Logo	10:30:38	2	A	1.955	2	1	338
Oral B	Playing Kit - Shirt Back	10:30:49	1	A	2.064	1	1	349
ΑΝΖ	Playing Kit - Shirt Front	10:30:52	3	A	1.183	3	1	352
GJ Gardner	Umpire Jersey Front - Homes	10:30:55	1	A	1.098	1	1	355
KFC	LED Sign - GET THE APP	10:30:55	1	E	1.186	1	1	355
KFC	Boundary Rope	10:30:58	1	A	0.640	6	6	358
Life Direct	Boundary Rope	10:30:58	1	A	0.763	1	1	358
Life Direct	LED Sign - End of Wicket Signage	10:30:58	1	D	0.763	2	2	358
ΑΝΖ	Boundary Rope	10:30:58	1	E	0.489	8	8	358
KFC	Boundary Rope	10:31:01	1	A	0.640	6	6	361
Life Direct	Boundary Rope	10:31:01	1	A	0.763	1	1	361
Life Direct	LED Sign - End of Wicket Signage	10:31:01	1	C	0.763	1	1	361
Life Direct	Stumps	10:31:01	1	A	0.666	6	6	361
ΑΝΖ	Boundary Rope	10:31:01	1	E	0.489	8	8	361
KFC	Boundary Rope	10:31:03	2	A	0.640	12	6	363
Life Direct	Boundary Rope	10:31:03	2	A	0.763	2	1	363
ΑΝΖ	Boundary Rope	10:31:03	2	E	0.489	16	8	363
Canterbury	Playing Kit - Shirt Front	10:31:06	2	A	0.973	2	1	366
Oral B	Playing Kit - Shirt Back	10:31:07	1	B	2.064	1	1	367
ΑΝΖ	Playing Kit - Shirt Front	10:31:06	2	A	1.183	2	1	366
KFC	Boundary Rope	10:31:08	1	E	0.640	6	6	368
Life Direct	Boundary Rope	10:31:08	1	D	0.763	1	1	368
Life Direct	Stumps	10:31:08	1	D	0.666	2	2	368
ΑΝΖ	Boundary Rope	10:31:08	1	E	0.489	8	8	368
ΑΝΖ	Playing Kit - Arm	10:31:06	4	A	0.467	4	1	366
Canterbury	Playing Kit - Shirt Front	10:31:12	1	A	0.973	1	1	372
Life Direct	LED Sign - End of Wicket Signage	10:31:12	1	C	0.763	1	1	372
Life Direct	Stumps	10:31:12	1	A	0.666	6	6	372
ΑΝΖ	Playing Kit - Shirt Front	10:31:12	1	A	1.183	1	1	372
KFC	Boundary Rope	10:31:12	2	A	0.640	12	6	372
Life Direct	Boundary Rope	10:31:12	2	A	0.763	2	1	372
ΑΝΖ	Boundary Rope	10:31:12	2	E	0.489	16	8	372
Life Direct	LED Sign - End of Wicket Signage	10:31:15	2	C	0.763	2	1	375
KFC	Boundary Rope	10:31:15	3	A	0.640	18	6	375
KFC	LED Sign - GET THE APP	10:31:17	1	B	1.186	1	1	377
Life Direct	Boundary Rope	10:31:15	3	A	0.763	3	1	375
ΑΝΖ	Boundary Rope	10:31:15	3	E	0.489	24	8	375
Canterbury	Playing Kit - Shirt Front	10:31:18	1	A	0.973	1	1	378
ΑΝΖ	Playing Kit - Shirt Front	10:31:18	1	A	1.183	1	1	378
ΑΝΖ	Playing Kit - Shirt Front	10:31:20	2	A	1.183	2	1	380
KFC	Media Backdrop	10:31:24	1	C	1.198	5	5	384
TVNZ+	Media Backdrop	10:31:24	1	B	1.776	3	3	384
ΑΝΖ	Media Backdrop - Player of the Match	10:31:24	1	C	0.995	3	3	384
Canterbury	Playing Kit - Shirt Front	10:31:25	8	A	0.973	8	1	385
Dulux	Trophy Table	10:31:25	8	A	0.441	8	1	385
ΑΝΖ	Playing Kit - Shirt Front	10:31:25	8	A	1.183	8	1	385
Dulux	TVGI Series Logo	10:31:40	6	D	0.815	6	1	400
Dulux	TVGI Series Text	10:31:40	6	E	0.467	6	1	400
ΑΝΖ	LED Sight Screen	10:31:46	4	A	1.002	4	1	406
Dulux	TVGI Series Text	10:31:50	11	B	0.467	11	1	410
TVNZ+	TVGI Logo	10:31:50	11	C	0.584	11	1	410
TVNZ+	TVGI Logo	10:32:03	5	D	0.584	5	1	423
TVNZ+	MicrophoneMicrophone	10:32:02	12	A	0.584	24	2	422
ΑΝΖ	Coin Toss Mat	10:32:14	35	A	2.982	35	1	434
ΑΝΖ	Kids Clothing	10:32:49	2	A	2.982	2	1	469
ΑΝΖ	Playing Kit - Shirt Front	10:32:14	37	A	1.183	37	1	434
TVNZ+	MicrophoneMicrophone	10:32:53	18	A	0.584	36	2	473
TVNZ+	MicrophoneMicrophone	10:33:17	16	A	0.584	32	2	497
TVNZ+	MicrophoneMicrophone	10:33:35	6	A	0.584	12	2	515
ΑΝΖ	Playing Kit - Arm	10:33:42	3	A	0.467	3	1	522
TVNZ+	MicrophoneMicrophone	10:33:47	1	D	0.584	2	2	527
ΑΝΖ	Playing Kit - Shirt Front	10:33:42	7	C	1.183	7	1	522
TVNZ+	MicrophoneMicrophone	10:33:54	1	D	0.584	2	2	534
Canterbury	Playing Kit - Shirt Front	10:33:42	21	C	0.973	21	1	522
Canterbury	Playing Kit - Shirt Front	10:34:07	16	C	0.973	16	1	547
Canterbury	Playing Kit - Shirt Front	10:34:28	4	C	0.973	4	1	568
ΑΝΖ	Playing Kit - Arm	10:33:46	46	A	0.467	46	1	526
ΑΝΖ	Playing Kit - Shirt Front	10:33:53	39	D	1.183	39	1	533
TVNZ+	MicrophoneMicrophone	10:34:03	34	E	0.584	68	2	543
Dulux	TVGI Series Text	10:34:39	42	B	0.467	42	1	579
Dulux	LED Sightscreen	10:35:22	4	E	1.278	4	1	622
GJ Gardner	LED Sightscreen	10:35:28	4	C	1.278	4	1	628
ΑΝΖ	LED Sight Screen	10:35:32	1	A	1.002	1	1	632
TVNZ+	TVGI Logo	10:35:35	6	D	0.584	6	1	635
ΑΝΖ	LED Sight Screen	10:35:49	7	A	1.002	7	1	649
Dulux	LED Sightscreen	10:35:56	6	E	1.278	6	1	656
GJ Gardner	LED Sightscreen	10:36:02	1	C	1.278	1	1	662
ΑΝΖ	LED Sight Screen	10:36:10	4	A	1.002	4	1	670
Dulux	LED Sightscreen	10:36:14	6	E	1.278	6	1	674
Powerade	LED Sight Screen	10:36:20	2	C	1.278	2	1	680
TVNZ+	TVGI Logo	10:36:33	5	D	0.584	5	1	693
ΑΝΖ	TVGI - Major Sponsor	10:37:56	8	D	1.288	8	1	776
ΑΝΖ	TVGI - Major Sponsor	10:40:30	3	D	1.288	3	1	930
TVNZ+	MicrophoneMicrophone	10:40:48	17	A	0.584	34	2	948
TVNZ+	MicrophoneMicrophone	10:41:13	6	A	0.584	12	2	973
TVNZ+	MicrophoneMicrophone	10:41:26	12	A	0.584	24	2	986
TVNZ+	MicrophoneMicrophone	10:41:43	9	A	0.584	18	2	1003
TVNZ+	MicrophoneMicrophone	10:41:54	11	D	0.584	22	2	1014
TVNZ+	MicrophoneMicrophone	10:42:16	12	D	0.584	24	2	1036
TVNZ+	MicrophoneMicrophone	10:42:32	10	D	0.584	20	2	1052
ΑΝΖ	Training Kit - Shirt Front	10:42:33	28	E	0.884	28	1	1053
TVNZ+	MicrophoneMicrophone	10:42:45	17	D	0.584	34	2	1065
ΑΝΖ	Training Kit - Shirt Front	10:43:02	1	E	0.884	1	1	1082
Powerade	Drinks Box	10:43:18	1	C	3.377	1	1	1098
Powerade	Drinks Table	10:43:18	1	D	3.835	1	1	1098
KFC	Boundary Rope	10:43:26	2	A	0.640	12	6	1106
Life Direct	Boundary Rope	10:43:26	2	A	0.763	2	1	1106
ΑΝΖ	Boundary Rope	10:43:26	2	B	0.489	16	8	1106
Canterbury	Playing Kit - Shirt Front	10:43:30	2	A	0.973	2	1	1110
Canterbury	Playing Kit - Pants	10:43:33	1	E	0.973	1	1	1113
Canterbury	Playing Kit - Shirt Front	10:43:33	2	A	0.973	2	1	1113
ΑΝΖ	Playing Kit - Arm	10:43:30	5	A	0.467	5	1	1110
ΑΝΖ	Playing Kit - Shirt Front	10:43:30	5	A	1.183	5	1	1110
ΑΝΖ	Training Kit - Cap	10:43:30	5	B	1.041	5	1	1110
Canterbury	Playing Kit - Shirt Front	10:43:39	3	A	0.973	3	1	1119
ΑΝΖ	Playing Kit - Arm	10:43:39	3	A	0.467	3	1	1119
ΑΝΖ	Playing Kit - Shirt Front	10:43:39	6	A	1.183	6	1	1119
TVNZ+	MicrophoneMicrophone	10:43:45	8	D	0.584	16	2	1125
ΑΝΖ	LED Sight Screen	10:43:58	4	B	1.002	4	1	1138
TVNZ+	TVGI Logo	10:43:59	6	D	0.584	6	1	1139
TVNZ+	MicrophoneMicrophone	10:43:58	13	D	0.584	26	2	1138
TVNZ+	MicrophoneMicrophone	10:44:47	1	D	0.584	2	2	1187
Life Direct	LED Sign - End of Wicket Signage	10:45:06	1	D	0.763	1	1	1206
TVNZ+	MicrophoneMicrophone	10:45:25	8	A	0.584	16	2	1225
TVNZ+	TVGI Logo	10:45:29	4	D	0.584	4	1	1229
GJ Gardner	Umpire Jersey Front - Homes	10:45:43	1	B	1.098	1	1	1243
KFC	Boundary Rope	10:45:47	3	A	0.640	18	6	1247
Life Direct	Boundary Rope	10:45:47	3	A	0.763	3	1	1247
ΑΝΖ	Boundary Rope	10:45:47	3	E	0.489	24	8	1247
Oral B	Playing Kit - Shirt Back	10:45:54	2	A	2.064	2	1	1254
GJ Gardner	Umpire Jersey Front - Homes	10:45:59	1	A	1.098	1	1	1259
ΑΝΖ	Playing Kit - Shirt Front	10:46:02	1	A	1.183	1	1	1262
KFC	LED Sign - GET THE APP	10:46:03	1	B	1.186	1	1	1263
ΑΝΖ	Boundary Rope	10:46:03	1	D	0.489	8	8	1263
ΑΝΖ	Playing Kit - Shirt Front	10:46:07	2	A	1.183	2	1	1267
KFC	LED Sign - GET THE APP	10:46:13	1	A	1.186	1	1	1273
Canterbury	Playing Kit - Shirt Front	10:46:26	2	A	0.973	2	1	1286
ΑΝΖ	Playing Kit - Arm	10:46:27	1	A	0.467	1	1	1287
ΑΝΖ	Playing Kit - Shirt Front	10:46:26	2	A	1.183	2	1	1286
GJ Gardner	Umpire Jersey Front - Homes	10:46:28	1	A	1.098	1	1	1288
NZC	Umpire Cap	10:46:28	1	C	1.546	1	1	1288
NZC	Umpire Jersey Front	10:46:28	1	A	0.569	1	1	1288
GJ Gardner	LED Sign - Homes	10:46:31	1	B	1.277	1	1	1291
Life Direct	LED Sign - End of Wicket Signage	10:46:31	1	A	0.763	2	2	1291
ΑΝΖ	LED Sight Screen	10:46:31	1	C	1.002	1	1	1291
ΑΝΖ	LED Sign - End of Wicket Signage	10:46:30	2	B	0.899	12	4	1290
Oral B	Playing Kit - Shirt Back	10:46:38	2	A	2.064	2	1	1298
ΑΝΖ	Playing Kit - Shirt Front	10:46:38	2	C	1.183	2	1	1298
ΑΝΖ	Playing Kit - Arm	10:46:39	2	A	0.467	2	1	1299
ΑΝΖ	LED Sight Screen	10:46:58	4	B	1.002	4	1	1318
TVNZ+	MicrophoneMicrophone	10:46:58	6	D	0.584	12	2	1318
